Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Namibia,NAM,46.82,65.56,103.3,95.98,108.31,111.76,99.04,116.68,116.61,116.27,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nauru,NRU,83.64,84.08,100.02,100.82,102.06,103.09,102.23,102.51,102.59,102.69,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nepal,NPL,46.49,59.5,96.32,105.67,104.94,108.15,111.28,113.73,112.82,116.66,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Netherlands,NLD,84.61,95.71,99.75,97.61,107.1,93.55,104.66,103.19,103.94,100.37,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,New Caledonia,NCL,88.2,69.49,108.43,115.62,111.75,116.05,116.19,117.7,105.13,94.33,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,New Zealand,NZL,58.21,77.38,96.04,102.6,93.53,103.18,106.2,108.93,104.93,108.2,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nicaragua,NIC,45.14,67.03,97.11,106.97,114.06,117.1,118.24,123.28,127.55,130.79,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Niger,NER,24.33,29.26,100.23,109.74,110.28,121.82,120.12,130.08,103.52,137.93,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Nigeria,NGA,38.98,64.38,97.29,107.64,109.74,114.88,109.64,112.71,118.31,120.89,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,North Macedonia,MKD,..,82.04,104.14,104.22,79.24,101.3,94.74,102.86,96.24,102.74,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Norway,NOR,122.84,95.48,101.85,100.89,98.95,71.74,101.43,100.21,95.01,101.79,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Oman,OMN,41.65,74.43,103.07,107.05,133.98,137.49,139.81,160.11,154.29,161.69,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Pakistan,PAK,58.13,77.66,97.1,100.56,105.46,99.66,100.32,105.14,113.42,104.13,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Panama,PAN,114.92,93.6,98.44,102.09,104.95,109.94,118.42,126.08,129.48,130.95,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Papua New Guinea,PNG,57.53,74.52,99.79,100.41,100.18,101.18,100.99,97.48,98.77,99.03,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Paraguay,PRY,40.37,39.92,99.68,101.53,109.45,111.5,101.14,118.78,108.94,74.78,..,..,,,,
